batch_id,gold_view,threshold,precision_macro,recall_macro,f1_macro,jaccard_macro,exact_accuracy_macro,precision_micro,recall_micro,f1_micro,jaccard_micro
splits_window_10_code_with_problems/chars_bin=0,parser,3,0.4107,0.4942,0.4466,0.4049,0.0496,0.7987,0.3793,0.5144,0.3462
splits_window_10_code_with_problems/chars_bin=1,parser,5,0.4239,0.4302,0.4259,0.3822,0.0076,0.8568,0.5364,0.6598,0.4923
splits_window_10_code_with_problems/chars_bin=1,parser,4,0.3990,0.4610,0.4268,0.3834,0.0189,0.8058,0.5703,0.6679,0.5014
splits_window_10_code_with_problems/chars_bin=1,parser,3,0.3870,0.4623,0.4202,0.3730,0.0114,0.7823,0.5717,0.6606,0.4932
splits_window_10_code_with_problems/comments_bin=0,parser,5,0.4669,0.4535,0.4572,0.4084,0.0305,0.8723,0.3947,0.5435,0.3732
splits_window_10_code_with_problems/comments_bin=0,parser,4,0.4411,0.5111,0.4717,0.4311,0.0611,0.8237,0.4400,0.5735,0.4021
splits_window_10_code_with_problems/comments_bin=0,parser,3,0.4273,0.5135,0.4645,0.4193,0.0420,0.7961,0.4422,0.5686,0.3972
splits_window_10_code_with_problems/comments_bin=1,parser,5,0.4093,0.4084,0.4076,0.3668,0.0152,0.8622,0.4752,0.6127,0.4417
splits_window_10_code_with_problems/comments_bin=1,parser,4,0.3832,0.4419,0.4095,0.3698,0.0227,0.8080,0.5077,0.6236,0.4530
splits_window_10_code_with_problems/comments_bin=1,parser,3,0.3706,0.4431,0.4025,0.3587,0.0189,0.7825,0.5088,0.6167,0.4458
splits_window_10_code_with_problems/length_lines_bin=0,parser,5,0.4903,0.4647,0.4742,0.4236,0.0344,0.8860,0.3648,0.5168,0.3485
splits_window_10_code_with_problems/length_lines_bin=0,parser,4,0.4615,0.5305,0.4917,0.4513,0.0763,0.8341,0.4135,0.5529,0.3821
splits_window_10_code_with_problems/length_lines_bin=0,parser,3,0.4446,0.5335,0.4829,0.4371,0.0534,0.8002,0.4161,0.5475,0.3769
splits_window_10_code_with_problems/length_lines_bin=1,parser,5,0.3861,0.3973,0.3907,0.3516,0.0114,0.8534,0.5051,0.6346,0.4648
splits_window_10_code_with_problems/length_lines_bin=1,parser,4,0.3629,0.4226,0.3897,0.3498,0.0076,0.8011,0.5341,0.6409,0.4716
splits_window_10_code_with_problems/length_lines_bin=1,parser,3,0.3534,0.4233,0.3843,0.3411,0.0076,0.7801,0.5350,0.6347,0.4649
splits_window_5_code_with_problems/chars_bin=0,parser,5,0.4596,0.4541,0.4551,0.4192,0.0954,0.9010,0.3497,0.5039,0.3368
splits_window_5_code_with_problems/chars_bin=0,parser,4,0.4435,0.4908,0.4640,0.4334,0.1107,0.8620,0.3768,0.5244,0.3553
splits_window_5_code_with_problems/chars_bin=0,parser,3,0.4148,0.4921,0.4476,0.4069,0.0649,0.8044,0.3779,0.5142,0.3461
