exercise_name,pred_count,gold_count,tp,fp,fn,precision,recall,f1,jaccard,accuracy_exact
py_largest_divisor,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_list2d_basic,12,6,2,10,4,0.1667,0.3333,0.2222,0.1250,0.0000
py_list2d_basic2,11,6,2,9,4,0.1818,0.3333,0.2353,0.1333,0.0000
py_list2d_basic3,11,6,2,9,4,0.1818,0.3333,0.2353,0.1333,0.0000
py_list_basic,6,5,2,4,3,0.3333,0.4000,0.3636,0.2222,0.0000
py_list_basic2,7,5,2,5,3,0.2857,0.4000,0.3333,0.2000,0.0000
py_list_basic3,5,5,2,3,3,0.4000,0.4000,0.4000,0.2500,0.0000
py_list_change,12,11,7,5,4,0.5833,0.6364,0.6087,0.4375,0.0000
py_list_fill,7,10,5,2,5,0.7143,0.5000,0.5882,0.4167,0.0000
py_list_fill_user_input,6,7,5,1,2,0.8333,0.7143,0.7692,0.6250,0.0000
py_list_min,13,12,8,5,4,0.6154,0.6667,0.6400,0.4706,0.0000
py_list_min_max,12,11,8,4,3,0.6667,0.7273,0.6957,0.5333,0.0000
py_list_process_elements,7,11,4,3,7,0.5714,0.3636,0.4444,0.2857,0.0000
py_list_rotate,10,14,4,6,10,0.4000,0.2857,0.3333,0.2000,0.0000
py_list_rotate_left_twice,11,12,4,7,8,0.3636,0.3333,0.3478,0.2105,0.0000
py_list_rotate_right,11,12,5,6,7,0.4545,0.4167,0.4348,0.2778,0.0000
py_list_rotate_right_twice,10,12,4,6,8,0.4000,0.3333,0.3636,0.2222,0.0000
py_list_swap_adjacent_elements,11,10,5,6,5,0.4545,0.5000,0.4762,0.3125,0.0000
py_loan2,17,15,10,7,5,0.5882,0.6667,0.6250,0.4545,0.0000
py_nested_if_max_of_three,10,8,6,4,2,0.6000,0.7500,0.6667,0.5000,0.0000
py_nested_if_min_max,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_nested_if_temperature,11,8,6,5,2,0.5455,0.7500,0.6316,0.4615,0.0000
py_nested_if_temperature2,11,9,6,5,3,0.5455,0.6667,0.6000,0.4286,0.0000
py_phone_age,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_phone_age2,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_point2,11,14,6,5,8,0.5455,0.4286,0.4800,0.3158,0.0000
py_print_medals,15,16,10,5,6,0.6667,0.6250,0.6452,0.4762,0.0000
py_print_medals_row_column_total,17,19,10,7,9,0.5882,0.5263,0.5556,0.3846,0.0000
py_pythagorean_theorem,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
py_pythagorean_theorem2,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
py_range1_2,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
py_range2_2,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
py_range3_2,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
py_range_one,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
py_range_three,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
py_range_two,3,3,2,1,1,0.6667,0.6667,0.6667,0.5000,0.0000
py_rent_car,8,8,5,3,3,0.6250,0.6250,0.6250,0.4545,0.0000
py_rent_car2,8,7,5,3,2,0.6250,0.7143,0.6667,0.5000,0.0000
py_rent_car3,9,8,5,4,3,0.5556,0.6250,0.5882,0.4167,0.0000
py_repeated_sequence,5,8,4,1,4,0.8000,0.5000,0.6154,0.4444,0.0000
py_repeated_sequence2,5,9,4,1,5,0.8000,0.4444,0.5714,0.4000,0.0000
py_reverse_number,9,10,5,4,5,0.5556,0.5000,0.5263,0.3571,0.0000
py_score_dict2,23,23,17,6,6,0.7391,0.7391,0.7391,0.5862,0.0000
